input,expected_answer
"In a game lacking goals it proved to be an eventful 90 minutes for Daniel Sturridge - on and off the ball - in England's 0-0 draw with Honduras. As the game was petering out in second half stoppage time, the Liverpool striker was struck by a beer can thrown from the crowd prompting the Liverpool striker to immediately turn his attention to the spectators. Incoming: Standing near the Honduras goal, a fan throws a beer can at Daniel Sturridge . Impact: The England striker reacts as he is struck by the beer can . Fury: Sturridge immediately engaged with the crowd following the incident . Caught on camera: TV cameras also caught the footage of the beer can being thrown at Sturridge . Offending object: The can which struck Sturridge lies by the side of the pitch . Sturridge engaged in dialogue with those in attendance, with the area containing England and Honduras supporters. It wasn't the first time the England hitman was targeted in the game, as he was also the victim of cynical play from Honduras' Emilio Izaguirre, who following a foul, directly kicked the ball into Sturridge's body while he lay on the ground following a trip. The incident led to Sturridge verbally confronting the Celtic star, who was lucky to only be booked for the unsportsmanlike play. By this point the game had already been stopped due to an electrical storm, but Sturridge was also guilty of missing three excellent chances to score. Taking one for the team: Emilio Izaguirre kicks the ball straight at Sturridge's body following a stoppage in play . Below the belt: Sturridge was tripped for a foul seconds before Izaguirre stuck the ball in retaliation . Angry reaction: Sturridge squared up to Izaguirre following the incident . The first resulted in him firing wide with just the keeper to beat, seconds before play was brought to a halt in the 23rd minute. The 24-year-old missed two decent opportunities in the second half too, the first an ambitious chip from inside the box drifting wide, while the second saw the former Chelsea forward header over unmarked from a Glen Johnson cross. Given the beer cans and nasty tactics thrown at Sturridge, boss Roy Hodgson will be glad the striker he is likely to start against Italy in England's World Cup opener didn't manage to get himself sent off. However he will hope that by the time the rumble in the jungle on June 14 comes round, Sturridge may have found his shooting boots. Chance gone: Sturridge wastes a chance to score by heading over the crossbar from a Glen Johnson cross . Post reaction: Sturridge kicks the post following a missed opportunity . A drink I do want: In the Miami heat, Sturridge takes a break to take on fluids along with Ross Barkley . Now get your shooting boots, Dan! Following the full-time whistle Sturridge walks off the pitch .","Liverpool striker hit by object from Miami crowd in second half added time .
Sturridge also sees ball violently kicked into his body by Emilio Izaguirre .
Three Lions hitman wasted three decent opportunities to score .
England drew 0-0 with Honduras at Sunlife Stadium in final World Cup warm up ."
"This is the tournament that will see Lionel Messi, at the age of 27, at his peak. Argentina have traditionally felt more comfortable when the tournament is played on their continent. They aim to win it. In their biggest rivals’ backyard. For Messi, this is his World Cup. The team revolves around Messi, although with team-mates in attack such as Sergio Aguero, Gonzalo Higuain and Angel di Maria, Argentina are the Real Madrid of national teams: they enjoy playing on the break, with pace. Now or never: This summer's World Cup is the tournament which will see Lionel Messi at his peak . Absolutely everything has been done to ensure Argentina, and Messi, arrive as serious contenders, including the appointment of a new coach. Despite a 4–1 win against Spain in September 2010, then manager Sergio Batista failed to combine the footballing growth of ‘The Flea’ with a team that worked. He failed in the Copa America held in Argentina in 2011,  losing to Uruguay in the quarter-finals. Alejandro Sabella came in and lifted spirits without making too much noise. The four forwards (Messi, Di Maria, Aguero and Higuain) had been developing an understanding and would be sure starters. And in midfield, a combination of Javier Mascherano’s tactical discipline and Fernando Gago’s touch made them leaders on and off the pitch. Serious contenders: Argentina coach Alejandro Sabella talks tactics with Messi during Friday's training session . In 571 minutes of World Cup football Lionel Messi has scored just one goal. Messi had Gago behind him and Aguero as his partner up front in both his titles with Argentina (Under 20 World Cup and the Olympic Games). They were reunited under Sabella. Messi, alongside team-mates who were on the same wavelength, began playing with  freedom. He started becoming Barcelona’s Messi. ‘The only thing I said as soon as I joined the national team was that he had to be left in peace,’ says Sabella. ‘He once missed a penalty and it was as if an asteroid had struck the Earth. Please! ‘Then they started, “What if he’s depressed...what’s happening to Messi?” It turns out that he scored five goals in the  following two matches. We have to understand that Messi is a human being.’ Sabella heeded advice from Pep Guardiola, the former Barcelona coach: ‘Protect him with players who make his job simpler.’ And make him feel loved, he added. With that in mind, the new coach gave Messi the captaincy. Former captain Mascherano says: ‘I was the one who gave it to him. I told him I would no longer be captain. I told Messi he had to be captain because of everything he represented for us. All smiles: Javier Mascherano (right) shares a joke with Fernando Gago, Maxi Rodriguez and Angel di Maria . ‘He was saying, “No! How? You are the captain!” and I was saying to him, “No, Leo, it has to be you”.’ Captaincy suited Messi. That is if you ignore his early team talks. Barcelona’s Gerard Pique recalls: ‘He told me that in Argentina they have a tradition of captains giving speeches before each match. When it was his turn, he said, “There is no speech today. Come on, let’s get on the pitch!” In his first match as captain!’ But, according to Manchester City’s Pablo Zabaleta, Messi gradually adapted to the responsibilities. ‘At the beginning he would speak to us on a more individual basis,’ says Zabaleta, ‘but now he says, “This is Argentina, let’s go for it from the start, remember the importance to the country”.’ Every king needs a coronation and Messi’s came on a very hot day in Barranquilla, Colombia. Argentina had already lost to Venezuela and drawn with Bolivia in their World Cup qualifiers. Then Colombia scored. ‘That match, when we came back with a spectacular second-half performance by Lionel, was key,’ remembers Argentine writer Eduardo Sacheri. ‘He made us win. It was epic: a Messi who can give no more, dying from the heat, on the brink of exhaustion...and he turned it around. We love those stories.’ At that moment Argentine society became reconciled with Leo. His performances under Sabella (20 goals in 22 games, when under previous coaches he had scored 17 in 61) matched those of the team. Messi,  Di Maria, Higuain and Aguero scored 90 per cent of  Argentina’s goals in qualifying. The idea of not winning in Brazil does not enter Messi’s head. It eats away at him that, although he feels he is No 1, he has not yet made history. High spirits: Messi laughs as Argentina team-mate Mascherano falls to the ground during training . ‘If we come back after the quarter-finals they will lambast him again,’ reflects Sacheri. ‘If he wins, maybe Diego (Maradona) will move aside. Or we put both on the altar, father and son. The advantage of Christianity is we can love more than one divine personality.’ Now that Messi has got used to being Messi, his goal is to win the World Cup. As if it were written in the stars.","Guillem Balague believes Argentina have fallen in love with Lionel Messi .
The Barcelona star is often referred to as 'The Catalan' by Argentine fans .
Fans believe Messi doesn't play as well for his country as he does for Barce .
Messi, 27, is now at the peak of his powers for the 2014 World Cup ."
"Eyebrows were raised when Andy Murray announced Amelie Mauresmo as his new coach on Sunday, ahead of his Wimbledon defence later this month. And it hasn't taken the duo long to get down to business, as the British No. 1 practiced at Queen's Club on Wednesday. Mauresmo won the women's singles title at SW19 in 2006 and as a grass court specialist is seen as the ideal coach to help Murray retain the Wimbledon crown he memorably won last year after defeating Novak Djokovic. VIDEO Scroll down to watch Murray and Mauresmo interviews about link up . Which racket's best? Andy Murray and Amelie Mauresmo share a discussion during a training session . Under watchful eyes: Murray warms up under close observation from Mauresmo . Catch this: Mauresmo chucks a ball at Murray ahead of a practice session at Queen's Club . Up in the air: Murray prepares to execute a serve as Mauresmo and a crowd watch on . Murray won his first match of the grasscourt season against Paul Henri-Mathieu at Queen's Club on Wednesday, and the 27-year-old practiced on the morning of the match under the bright London sunshine and watchful eye of the Frenchwoman. Mauresmo already appeared to be sharing her insight and experience with the Scot, having observed himt practice his serving and general play from a few meters back before handing out a tip or two during a drinks break. Although Mauresmo's appointment came as a surprise, Sportsmail's Mike Dickson exclusively revealed last month that the two-time Grand Slam winner was set to become Murray's new coach. Strong team: Murray's girlfriend Kim Sears (right) arrives to watch him take on Paul-Henri Mathieu . Interested spectators: Sears (left), Mauresmo (right) and the rest of Murray's coaching team prepare to watch the Scot in action . Aiming high: Murray will hope to regain his Wimbledon crown under the coaching of Mauresmo . Stand back and learn: Mauresmo (left) observes Murray practice as he prepares for his second round Queen's Club match . Warming up: Murray faces Paul-Henri Mathieu at Queen's Club on Wednesday . Experienced: Mauresmo is a former Wimbledon and Australian Open champion . Murray's long-term girlfriend Kim Sears was also present to meet Mauresmo and watch her man return to action after a crushing defeat in the semi-finals of the French Open to Rafael Nadal. She took her usual place in the stands along with Mauresmo and the rest of Murray's team as the 27-year-old began his bid to retain his Queen's title. Mauresmo replaces Ivan Lendl as Murray's coach after the Czech split from the British No. 1 in March following a successful two-year partnership. Mauresmo enjoyed a glittering 15-year playing which ended in 2009 - with here best year coming in 2006 where she won Wimbledon and the Australian Open - her only slam victories. AT SW19, Mauresmo's victory came off the back of serve and volley tennis and it's this expertise that has drawn Murray to appoint the Frenchwoman as his coach. Aside from slam victories, she became the first French player to become World No. 1 in 2004 - despite having not won a major - and went on to gain a silver medal at the Athens Olympics. It wasn't just Mauresmo's on court actions that received attention throughout the years. Get stuck in: Mauresmo shares some advice with Murray as the Scot takes a drinks break during practice . Push it to the limit: Murray builds his fitness ahead of his opening Queen's Club match . The Frenchwoman came out as a lesbian at just 19 years old in 1999, a move which she admitted later was tough and led to jibes from fellow professionals Lindsey Davenport and Martina Hingis. However, Mauresmo also claims that coming to terms with her sexuality was a vital part of her success on the court, a success that would transfer to coaching. Mauresmo made her first entrance into coaching in 2010, guiding Michael Llodra, before then teaming up with then World No. 1 Victoria Azarenka two years later. Her most notable coaching success came last year, in helping guide Marion Bartoli to the 2013 Wimbledon crown. It was Bartoli's first grand slam victory and it came without dropping a set. Tribute: Amelie Mauresmo is a former Wimbledon champion, and along with Murray wore a 'Rally for Bally' wristband . Respect: Murray wears a wristband dedicated to former British No. 1 Elena Baltacha who tragically passed away last month .","Mauresmo announced on Sunday as Murray's new coach .
Murray practiced with former World No. 1 before Queen's Club opener .
Brit hoping to retain Wimbledon crown later this month .
Murray's girlfriend Kim Sears watches him in action at the Aegon Championships ."
"Belgium's Romelu Lukaku is carrying the hopes of a nation on his shoulders in his first World Cup in the absence of injured Christian Benteke, but the forward is relishing the pressure that comes with the tournament. 'I love pressure, I embrace it,' the 21-year-old told reporters on Sunday ahead of their World Cup Group H game against Algeria on Tuesday. Belgium are the dark horses of the tournament with a squad of young, talented players eager to leave their mark in a competition where their country has been absent for 12 years. Scroll down for videos... Great expectations: Romelu Lukaku is keen to take the responsibility of leading Belgian's attack in Brazil . Dark horses: Eden Hazard (L) and head coach Marc Wilmots take part a training session in Belo Horizonte . Glove affair: Chelsea keeper Thibaut Courtois prepares for Belgium's opening game against Algeria . Man of experience: Coach Marc Wilmots has played for Belgium at four World Cups . VIDEO Team Profile: Belgium . 'If you are scared of pressure then you cannot play well,' said Lukaku, who returned to training only this week following an ankle injury in their friendly against Tunisia last weekend. The tension in the Belgium camp has been rising in training this week, with crunching tackles that saw two players injured. 'I like it,' said Lukaku of the incidents. 'You need this. It shows that we want to win. Our training sessions are all like competitive matches.' Lukaku, on loan from Chelsea to Everton last season, is one of several Belgians in the squad plying their trade for top European clubs, raising expectations among their fans. Team bonding: Belgium players including Vincent Kompany and Thomas Vermaelen have been in high spirits during training . Walking wounded: Intense training has left Kevin De Bruyne nursing an injury . Great expectations: Belgian fans watch a training session of their national team in  Sao Paulo . Yet apart from defender Daniel van Buyten, no player has competed at a World Cup. For Lukaku that is not a problem. 'We have a lot of quality in the team and year after year we have been getting stronger and stronger,"" the soft-spoken striker said. 'A lot of us are now playing for top European clubs so there is no problem.' Belgium coach Marc Wilmots, who has featured in the Belgium squad at four World Cups, has enough experience to go around, and he is sharing it with his players, Lukaku said. 'He has been doing this from the first day we started,' he said.","Romelu Lukaku is relishing the pressure of leading Belgium's World Cup attack in Brazil .
Dark horses Belgium face Algeria in their opening Group H game .
Origi and De Bruyne were injured in training ground incidents ."
"Romelu Lukaku may miss the start of the World Cup after suffering an ankle strain during Belgium's 1-0 win over Tunisia in Brussels on Saturday. The 21-year-old striker will sit out training for the next four days, meaning that he is an injury doubt for Belgium's Group H opener against Algeria on June 17. Belgian fans will be particularly worried as they have already lost Aston Villa striker Christian Benteke from the World Cup squad due to an Achilles injury he sustained two months ago, leaving Lukaku as their main striker. Injury: Belgium striker Romelu Lukaku suffered an ankle strain during the 1-0 win over Tunisia in Brussels . Pain: Lukaku winces and clutches his ankle after suffering the injury that makes him a serious doubt . Fitness worries: The injury makes Lukaku a doubt for Belgium's World Cup opener with Algeria on June 17 . Form: Lukaku (left) enjoyed a fantastic season on loan at Everton, scoring 16 goals in 33 appearances . Lukaku had been in great form, scoring three goals in a 5-1 win over Luxembourg and adding another in a 2-0 away win against Sweden over the past two weeks, as well as netting 16 times in 33 appearances on loan at Everton last season. South Korea and Russia are Belgium's other Group H opponents. Pivotal: Lukaku (right) also continued that form for his country, scoring four goals in three warm-up games . Big miss: Aston Villa striker Christian Benteke (right) was ruled out of the World Cup with an Achilles injury .","Lukaku suffered injury in 1-0 friendly win over Tunisia on Saturday .
The 21-year-old striker will miss four days of training due to injury .
Belgium play Algeria in their World Cup Group H opener on June 17 .
Belgium have already lost Aston Villa's Christan Benteke to injury ."
"Ronald Koeman has been appointed as Southampton's new boss on a three-year-deal. The 51-year-old will replace Mauricio Pochettino in the St Mary's hotseat following his move to Premier League rivals Tottenham in May. Southampton executive director Les Reed said in a statement: 'From the moment we met with Ronald, it was clear he had the vision and ambition to take our club forward, that he shared our football philosophy and could see the opportunity to move our club to the next level. Main man: Southampton appointed Ronald Koeman (centre) as manager on a three-year-deal on Monday . In the hotseat: Koeman moves to Southampton after leaving Dutch outfit Feyenoord last season . Sibling love: Koeman's brother Erwin will join him as his assistant manager at Southampton . Replacement: Koeman has taken over from Mauricio Pochettino who joined Tottenham in May . Pure joy: Koeman scored the only goal in the 1992 European Cup final for Barcelona against Sampdoria . 'The club, the players and the fans will all be excited to have a man of Ronald's experience at the very highest level joining our club. 'Ronald's passion for the opportunity here at St Mary's was very clear, and we look forward to continuing our growth with him as part of our team.' Upon moving to the south coast club Koeman, who stepped down from his role as manager at Dutch outfit Feyenoord after guiding them to second place in the Eredivisie last season, will bring his brother Erwin as assistant manager. Koeman said: 'I am thrilled to be the manager of Southampton Football Club. 'From my very first meeting with Les Reed, I could see clearly that this was the right club for me. We share the same philosophy of football, and the same belief in how to develop the club. 'Southampton have a talented first-team squad, a world-class academy and the infrastructure to sustain success in the Premier League. 'The opportunity to continue the development of this famous football club was simply too good to turn down. I cannot wait to get started.' Pastures new: Koeman left Feyenoord in May after guiding them to second in the Dutch Eredivisie . Top stuff: Southampton enjoyed an impressive Premier League campaign last season, finishing eighth . On the move? Croatia defender Dejan Lovren has been linked with a summer transfer away from Southampton . The Dutchman comes with a reputation for an attacking brand of football and a commitment to promoting young talent which will sit well with Southampton who have nurtured the likes of Gareth Bale, Alex Oxlade-Chamberlain, Adam Lallana, Luke Shaw and Calum Chambers in recent seasons. Koeman, who won the European Championship with Holland and the European Cup with PSV in 1988 and with Barcelona four years later as a player, has also managed Ajax, Benfica, PSV Eindhoven, Valencia and AZ Alkmaar. He played 763 games for club and country, scoring 253 goals - including the winner for Barcelona against Sampdoria in the 1992 European Cup final at Wembley. The Dutchman inherits a Saints side who finished eighth in the Premier League in the previous campaign. One of his first tasks at Southampton will be to find a replacement for England international Rickie Lambert who signed for his boyhood club Liverpool in a £4million deal in May. As well as replacing Lambert, Koeman will have a fight on his hands to keep intergral trio Luke Shaw, Dejan Lovren and captain Adam Lallana at the club - who have all been linked away with a move this summer.","Southampton have appointed Ronald Koeman as their new boss .
Koeman has signed a three-year-deal at the south coast club .
Koeman stepped down from Feyenoord in May after guiding them to second in the Dutch Eredivisie .
Koeman's brother Erwin will be his assistant at St Mary's .
Koeman replaces Mauricio Pochettino who is now at Tottenham .
Koeman won the 1988 European Championship with Holland and two European Cups as a player during his illustrious career ."
"Maybe it is the location, something in the air. Joga bonito, and all that. Play beautifully. No country wants to come to a World Cup in Brazil, the spiritual home of football at its most compelling, and stink the place out. Again. That applies to England more than most. After a dismal experience in South Africa in 2010 and a week of predictions based around a dour, goalless draw, played at an Amazonian snail’s pace in the tropical heat, England came out of the blocks in Manaus as if set down at Anfield on a perfect autumn afternoon. Lost, obviously, but that happens in football. Sometimes you don’t get what you deserve. A fair few in the squad know all about that this season. VIDEO Scroll down to watch Sportsmail's Neil Ashton and Charles Sale reflect on Italy defeat . Forward thinking: Daniel Sturridge and England must carry on attacking if they are to get out of the group . More of this, please: Sturridge's goal came after a flowing, pacy counter-attack by England . Anyway, it is too late to change now. Roy Hodgson has arrived at this tournament with a battle-plan based around a sprightly, youthful, forward line, and must stick to it in Sao Paulo on Thursday. Defeat and England will be as good as out, but Hodgson cannot afford to think like that. To play Uruguay and Luis Suarez minus an element of risk would invite disaster; a draw that would put incredible pressure on a final win over Costa Rica or the breakaway goal that might seal England’s fate in the shortest time possible. For Uruguay coach Oscar Tabarez to play Suarez may be a gamble after rushing his return from injury, but have no doubt that he can score. He is a streetfighter and a street footballer with a desire that borders on insanity. The best way to put him, and Uruguay, out of business is to focus on a creaking, vulnerable defence that leaked three to Costa Rica. Late run: Raheem Sterling has come from virtually nowhere to be a major threat for England . Hodgson’s strategy out here as good as decides itself — embrace the spirit of Brazil, or bust. There is no alternative. Could we see more of him? Ross Barkley could be an alternative should England want to attack . England’s back line, sadly, is not set up to hold a lead. Had it been Daniel Sturridge, not Mario Balotelli, that had scored with a far post header in the 50th minute on Saturday, England would not have been able to see the game out with the certainty that Italy did. Cesare Prandelli’s players reverted to type once that goal went in, a bank of five in front of a fortress of four, as thick as tar through the middle, and England could find no way through. Wayne Rooney missed a good chance in the second half and Leighton Baines had a free-kick saved but as the game wore on genuine threats to goal grew fewer, as Italy’s vice grip got tighter and, if anything, they looked likelier to snatch a third on the break. Trading blows in front of goal the teams were evenly matched. What was clear, however, is that a plan of containment that was so effective in Ukraine for Hodgson will not fly for long out here. England must play to their strengths and if this makes contests more open than is traditionally considered healthy, so be it. Despite his protestations to the contrary, Hodgson is not a natural cavalier. Andros Townsend supplemented James Milner in the qualifying matches only when backs were to the wall and Raheem Sterling’s run into the first-team could not have been timed any later. Yet, like most coaches of experience, he is a pragmatist — and sometimes the most pragmatic means of defence is attack. Wide of the mark: Wayne Rooney missed a golden chance and did not look comfortable on the wing . Why do Liverpool play as they do, and Arsenal? It is simple. What other option do they have? Liverpool manager Brendan Rodgers says he would never send a team out to suck the life from the game as Chelsea did at Anfield last season but the fact is, he couldn’t if he wished to. Not with Liverpool’s defence. If he ever gets a rearguard as reliable as his forwards — or as rugged as Chelsea’s — we shall see how loyal he is to those principles. For all the talk of a Liverpool way, their greatest teams under Bob Paisley, for instance, were not known for flying into away fixtures gung-ho. They could hold a lead as well as any collection of Italians, because they possessed some of Europe’s greatest defenders — Alan Hansen, Mark Lawrenson, Phil Neal, Steve Nicol, and plenty more. Ahead of them Graeme Souness protected the yard as fiercely as any Doberman on a chain. Arsenal under George Graham were the same. Arsene Wenger values winning beautifully and so there has been disproportionate focus on the front of the team in his tenure. The last time Arsenal defended for their lives was on the way to the Champions League final in 2006. Since then they have been gorgeously one-dimensional; but, then, they have to be. Picking up the pace: Danny Welbeck was part of England's front four against Italy . This is true of England, too. Hodgson picks the best back four available — notwithstanding the moot debate over Ashley Cole and Baines, and the closed door that is John Terry — but he will know deep down that it does not pass muster against the best attacking units here. It would be very dangerous indeed to imagine England could play a cautious game against Uruguay, nick a goal and sit on that lead. No time to change it: Hodgson must stick with the bold, attacking approach . The onslaught that started the match with Italy is undoubtedly the way to go once more. England must continue to make a virtue of the confidence of youth, the pace and technical ambition that came so close to establishing a significant lead in Manaus. Going into Sunday’s games, England topped the 14-team table for shots at goal. Greater accuracy is the key. If that is achieved, Uruguay will not withstand. If anything, they are considerably more vulnerable at the back than England. There is another reason to get on the front foot. At the last World Cup, of the 16 teams eliminated at the group stage, 14 failed to win their first game. Nine of those lost and five drew. Only Switzerland and Slovenia won and went out. The numbers after game two are even more worrying. Only three teams made it to round two without recording a victory in the opening two matches: England (two draws), United States (two draws) and Slovakia (draw, defeat). Hodgson cannot rely on his players getting so lucky again. ‘We are not the type of team to sit back and, unfortunately, that left one or two opportunities for Italy to get the ball in,’ said Hodgson. That will be true against Uruguay, too. It is scarcely believable that Suarez will not fashion at least one opportunity in front of goal, even half fit. England’s mission is to render this moment an irrelevance. There is only one way to achieve that. More of the same and let the best team win. Play your own game: England have to try to ensure any appearance by Luis Suarez is irrelevant .","England came out of the blocks fast against Italy in Manaus .
Roy Hodgson must keep faith in his system based around young forwards .
If England lose to Uruguay (and possibly Luis Suarez) they'll be out .
They must target Uruguay's creaking, leaky defence .
Hodgson's back line is not set up to keep a lead ."
"Police are hunting a gunman who shot a woman and held her hostage before robbing a take-away store in Melbourne. The man armed with a firearm allegedly forced entry into a factory in Sunshine West, Melbourne's west, on Wednesday morning. Twenty-five minutes later, police believe the same man threatened a second woman with a gun at a take-away store less than 10km away. Police allege a gunman shot a woman and held her hostage at a factory in Sunshine West, Melbourne's west, on Wednesday morning . Police say when they were first called to the factory in North View Drive at 5am, they were confronted by the armed man who was holding the woman . The man allegedly shot a woman at the factory. She suffered minor injuries to her arm from the gunshot . Police say they were first called to the factory in North View Drive at 5am where the armed man was holding the woman hostage. She was suffering from minor injuries to her arm from a gunshot. The man kept the woman with him, before letting her go as he made a getaway on a motorbike. The woman was taken to hospital for treatment. About 25 minutes later, police were called to a robbery at a take-away store about 10km away from the factory . Police say the same man threatened a woman at the store before stealing cash from the register . The man who robbed the cafe is described as about 183cm tall, of solid build, wearing dark clothing and a full face helmet . The armed gunman was then believed to have left the area on the same motorbike from the first incident . Police spoke ti cafe staff (pictured) after the armed robbery at the cafe in Derrimut, west of Melbourne . Cafe workers (pictured) took a break from speaking to police about the armed robbery on Wednesday morning . At 5.25am, police were called to a second armed robbery at a take-away food store in nearby Derrimut. Police were told the same man entered the store, threatening another female employee with a gun before stealing cash from the register. He is then believed to have left the area on the same motorbike. The man is described as about 183cm tall, of solid build, wearing dark clothing and a full face helmet.","Police were called to a Melbourne factory where a man held a woman hostage at 5am on Wednesday .
Police say he fired his gun at the woman and caused minor injuries to her arm .
Then he robbed a take-away store less than 10km away, where he threatened a second woman with a gun .
The man allegedly stole cash from the register at the store .
He is believed to have fled both scenes on the same motorbike ."
"With England looking for a late equaliser against the Italians, Wayne Rooney stepped up to take a corner won as Leighton Baines’ freekick was saved. Rooney, who often takes corners for Manchester United and England with some success, strode forward, taking three steps before striking the ball. But with his right boot he fired the dead ball opportunity into the Manaus sky and out for a goalkick without any other player getting close to touching the ball. VIDEO Scroll down to watch Wayne Rooney with fully charged sliding tackle on John Stones . Not again: Rooney endured a frustrating night for England and his awful corner will have annoyed him . Hit or miss: Rooney lined up the corner kick before striding forward to take it . England’s players simply bowed their heads and turned to jog back to the half-way line, perhaps embarrassed at their frontman’s dead ball prowess compared to Italy’s midfield maestro Andrea Pirlo. Was Rooney’s effort the worst corner ever? Here we go: England's number 10 swings his right boot at the 'Brazuca' ball looking to play it into the box . Oh dear: Rooney's effort flies out of play as his team-mates make their runs in the penalty area . As Liverpool’s title challenge fell apart against Chelsea at Anfield, Aspas’ stoppage time short corner only succeeded in finding Willian on the edge of the box. The Brazilian, fresh off the bench, burst away upfield and the move eventually led to Chelsea’s second goal which handed Manchester City the title initiative and deflated Liverpool. While Rooney’s corner kick was perhaps more embarrassing, England fans should perhaps at least be grateful that it didn’t lead to a goal to kill off their Group D opener. Deary me: The men in the box realise what's gone wrong and begin to head back to their positions . Head bowed: Rooney set up Daniel Sturridge's goal but his awful corner was embarassing .","Rooney's dead ball effort drew groans from England fans all over .
The Three Lions were chasing the game as Rooney embarrassed himself .
Some even called the England forwards corner the 'worst ever'"
"Jose Mourinho has confirmed Belgian international keeper Thibaut Courtois will return to Chelsea this summer and warned Real Madrid that Ramires is not for sale. Courtois, 22, has been on loan at Atletico Madrid for three seasons but Mourinho said: 'When the World Cup is over, Courtois will come straight back to Stamford Bridge - end of story.' Discussing Real Madrid's desire to take Ramires, Mourinho added: 'Ramires is staying at Chelsea. He's not for sale. VIDEO Scroll down to watch Thibaut Courtois refuse to discuss his Chelsea future . Homecoming: Thibaut Courtois will return to Chelsea after three seasons on loan with Atletico Madrid . Blues brothers? Ramires is not for sale while Jose Mourinho expects Diego Costa to arrive at Stamford Bridge . 'I have an excellent friendship with important people within Real Madrid and they know that Ramires is going to stay at Chelsea.' Mourinho confirmed Chelsea's intent to sign Atletico's Spain international striker Diego Costa.'I am extremely confident we are going to get him and he'll end up signing for Chelsea,' said Mourinho. 'Costa is a player I want in my team. I've asked the club to bring him in.'","Jose Mourinho has confirmed Thibaut Courtois will return to Chelsea .
Blues boss has warned Real Madrid that Ramires is not for sale .
Diego Costa is likely to arrive at Stamford Bridge next season ."
