task,input,target
multistep_arithmetic_two,((-7 + -2 * 1 - 6) + (3 + 9 * 7 + -7)) =,44
multistep_arithmetic_two,((4 + 7 * 4 - -5) - (-4 - 1 - -4 - 4)) =,42
multistep_arithmetic_two,((1 - 6 * 0 - -7) * (6 * 0 + 6 - -3)) =,72
multistep_arithmetic_two,((-1 + -7 + -2 - 7) * (6 - 1 - -1 * 5)) =,-170
multistep_arithmetic_two,((-5 + 6 - -5 + -6) + (-4 + -6 - 3 - 7)) =,-20
multistep_arithmetic_two,((0 - -1 + -1 + -3) - (-3 * 0 * 8 + 6)) =,-9
multistep_arithmetic_two,((-8 + -6 * 9 - 7) + (8 + 2 * -9 * -7)) =,65
multistep_arithmetic_two,((-3 * 0 * 4 - -7) + (-9 * -6 - -8 + 1)) =,70
multistep_arithmetic_two,((-5 - 2 + 9 * -1) * (7 - 5 + 9 * -7)) =,976
multistep_arithmetic_two,((5 - 7 - 8 - 6) * (-2 * -8 * -9 + 4)) =,2240
multistep_arithmetic_two,((-5 + 1 - 2 - -3) * (-9 * 3 + 9 + -1)) =,57
multistep_arithmetic_two,((-2 * -8 * 9 + -5) + (7 - -1 - -4 - 1)) =,150
multistep_arithmetic_two,((-2 - 5 * -5 - 6) + (-5 * -4 + 2 + -2)) =,37
multistep_arithmetic_two,((-5 - 6 * 5 + -9) + (1 + -4 - -2 * 6)) =,-35
multistep_arithmetic_two,((-8 + 0 * 0 * -1) - (7 + -1 + -3 * -2)) =,-20
multistep_arithmetic_two,((-9 - -3 * 1 - -3) * (-9 - 5 - -2 * -7)) =,84
multistep_arithmetic_two,((5 * -2 + 8 * 1) * (9 + -3 * -8 - -5)) =,-76
multistep_arithmetic_two,((-7 * 9 - -9 + 7) + (9 * -6 * -4 * -6)) =,-1343
multistep_arithmetic_two,((4 - 3 * -1 * 3) * (3 + 8 + 1 - 7)) =,65
multistep_arithmetic_two,((-3 - 8 * 5 + 5) - (-1 * -3 - -2 - 6)) =,-37
multistep_arithmetic_two,((1 + 3 - -5 - 4) + (-3 - -3 + 6 * 9)) =,59
multistep_arithmetic_two,((3 * 9 - 3 * 2) + (-1 * -7 - 1 - -9)) =,36
multistep_arithmetic_two,((7 * 9 * 3 * 6) * (-8 * -6 + -9 + -5)) =,38556
multistep_arithmetic_two,((1 + 1 + -7 * -6) - (4 * 2 * -5 + -5)) =,89
multistep_arithmetic_two,((1 + 1 * 3 - 2) * (-8 - -2 - 9 + -9)) =,-48
multistep_arithmetic_two,((5 + 6 * 4 * 9) + (-9 - 0 * 3 - 1)) =,211
multistep_arithmetic_two,((-1 - 9 + -9 * -9) - (1 + -3 - 5 - 5)) =,83
multistep_arithmetic_two,((-1 + -6 - -4 + -6) - (-2 * -5 - -1 * 1)) =,-20
multistep_arithmetic_two,((-2 - -7 + 5 * -3) + (2 - 8 + 5 * -7)) =,-51
multistep_arithmetic_two,((3 - -6 - 7 + 3) + (-7 + 6 * 9 + 8)) =,60
multistep_arithmetic_two,((-1 - -9 * 8 - -9) + (-9 - 2 * -6 + -6)) =,77
multistep_arithmetic_two,((-5 + 6 + -6 * -1) + (-5 + -5 + 9 + -2)) =,4
multistep_arithmetic_two,((4 + -1 + -7 + 2) - (-7 + -9 * -6 + -3)) =,-46
multistep_arithmetic_two,((8 * 9 * 0 - -1) - (-9 - -7 + -4 - 8)) =,15
multistep_arithmetic_two,((4 + 5 * -9 * -8) - (-9 + -7 - -6 - -9)) =,365
multistep_arithmetic_two,((-8 + 5 - 0 - 6) * (-5 * -4 - 6 + -3)) =,-99
multistep_arithmetic_two,((-4 + -5 * 7 + 7) + (3 * -3 - -4 + 4)) =,-33
multistep_arithmetic_two,((0 * 8 - -9 * 6) - (-3 * -9 * -1 - 7)) =,88
multistep_arithmetic_two,((0 * 9 + -8 * 7) - (7 - 9 + 1 + 0)) =,-55
multistep_arithmetic_two,((9 * 4 - 6 - -8) + (6 - 8 - -4 * 3)) =,48
multistep_arithmetic_two,((6 - 1 - -3 + -2) + (5 * 5 + -1 - -8)) =,38
multistep_arithmetic_two,((-4 + 4 + 3 * 1) - (-9 - -3 + -6 - 5)) =,20
multistep_arithmetic_two,((-3 - -6 - -7 + 3) + (5 * 5 * 1 - -3)) =,41
multistep_arithmetic_two,((-8 * 4 + 7 - 5) + (9 + -6 + -2 * 5)) =,-37
multistep_arithmetic_two,((-8 - -6 * 7 * 0) * (0 + -5 * -8 - 0)) =,-320
multistep_arithmetic_two,((5 * 1 * 3 - 9) * (-7 + 4 - -7 * -3)) =,-144
multistep_arithmetic_two,((5 - -2 * -9 + 8) - (3 - 4 * -3 - -6)) =,-26
multistep_arithmetic_two,((7 + 1 + 9 * 1) + (7 - -3 + 3 * 1)) =,30
multistep_arithmetic_two,((-6 + -2 * 3 * 0) + (3 + -4 - 7 - -4)) =,-10
multistep_arithmetic_two,((-8 + -4 * -9 * 0) + (2 * -9 + 3 * -3)) =,-35
multistep_arithmetic_two,((-8 + 6 - 8 * -9) - (9 - 9 * -2 + -1)) =,44
multistep_arithmetic_two,((9 - -6 * 9 * 4) - (6 - 4 * -8 * -7)) =,443
multistep_arithmetic_two,((8 + 3 * -8 - -8) - (2 + 2 * -9 - 6)) =,14
multistep_arithmetic_two,((-9 + 8 - -4 * 2) - (1 - 9 + -6 * 3)) =,33
multistep_arithmetic_two,((-1 * -6 - -1 - -8) - (8 + -7 * 8 * -4)) =,-217
multistep_arithmetic_two,((-3 * 6 - 0 * 6) - (-6 * -6 * 7 + -8)) =,-262
multistep_arithmetic_two,((-6 - -1 - -5 * -5) + (8 + -5 - 9 * -7)) =,36
multistep_arithmetic_two,((-9 + -4 + 0 * -1) * (4 * -3 * -8 - -4)) =,-1300
multistep_arithmetic_two,((-2 - 2 * 2 + 0) - (7 - 6 - -7 - -1)) =,-15
multistep_arithmetic_two,((-7 - -4 * 2 - 9) * (9 - 6 - 1 + -4)) =,16
multistep_arithmetic_two,((-9 * 4 * -9 - -9) * (5 * 2 * 6 * -2)) =,-39960
multistep_arithmetic_two,((-9 + -3 + 6 - 8) - (-7 * -2 * -6 + -6)) =,76
multistep_arithmetic_two,((-7 + 5 * -6 * -6) * (7 * -5 + -6 - 7)) =,-8304
multistep_arithmetic_two,((-8 * 0 + 2 * 2) * (-9 - 1 * -9 * 3)) =,72
multistep_arithmetic_two,((9 + 2 + 3 - -3) + (-5 + 6 - -6 - -9)) =,33
multistep_arithmetic_two,((5 - 6 - 7 + 6) - (-1 - 1 * -7 + 9)) =,-17
multistep_arithmetic_two,((-9 - -7 + 2 + 2) + (-7 + -9 - -1 - 0)) =,-13
multistep_arithmetic_two,((-6 * -4 + -1 + 1) + (-9 * -6 + 7 + 9)) =,94
multistep_arithmetic_two,((7 - 5 * 7 + -1) + (6 * 4 - 9 + -7)) =,-21
multistep_arithmetic_two,((6 + -8 * -3 - -5) * (2 - 7 * -2 * -8)) =,-3850
multistep_arithmetic_two,((-1 * -1 * -6 - 7) - (-4 * 0 - -4 - 9)) =,-8
multistep_arithmetic_two,((-6 + 1 - -4 * -2) + (4 - -8 - -1 - -2)) =,2
multistep_arithmetic_two,((7 + -9 * -5 + -3) * (-8 * 8 - -5 + -5)) =,-3136
multistep_arithmetic_two,((3 * 4 * 0 * -3) - (6 + -4 + 2 * -7)) =,12
multistep_arithmetic_two,((2 + -6 * -7 - 7) + (-2 - -5 + -4 + -2)) =,34
multistep_arithmetic_two,((-3 + -4 * 5 * -7) - (-1 * -4 + -9 + 2)) =,140
multistep_arithmetic_two,((0 + -9 * 6 * 4) + (5 - -3 + 8 * 5)) =,-168
multistep_arithmetic_two,((-4 - -6 - -5 - 5) - (-2 + -4 - -8 + 6)) =,-6
multistep_arithmetic_two,((-3 + -4 * 3 - -8) + (8 - 1 - -4 - -1)) =,5
multistep_arithmetic_two,((-4 - 5 + 2 + 7) - (-9 * 6 * -1 - -3)) =,-57
multistep_arithmetic_two,((8 + 1 + 6 + 6) - (7 - -7 - 9 - -8)) =,8
multistep_arithmetic_two,((-9 * -5 - 5 + 7) - (-3 - 8 + 9 * -2)) =,76
multistep_arithmetic_two,((0 + 1 - -6 * 9) * (4 + 7 + -9 - 8)) =,-330
multistep_arithmetic_two,((-1 + -6 + -3 * -2) * (-9 * -1 + 2 - 3)) =,-8
multistep_arithmetic_two,((6 * 5 + 0 - -3) * (4 * 5 * 3 + 0)) =,1980
multistep_arithmetic_two,((-2 * -1 + 1 * -3) - (7 * -7 + -5 * 6)) =,78
multistep_arithmetic_two,((-1 + 5 - -1 + 3) + (0 - -3 - -5 * 0)) =,11
multistep_arithmetic_two,((0 - 5 + 0 + 3) * (-7 + -8 * 4 - -3)) =,72
multistep_arithmetic_two,((-2 - 3 - 0 - 2) * (1 - -7 - -3 + -6)) =,-35
multistep_arithmetic_two,((3 + 3 - -4 - 2) + (-2 - -7 * -2 * 1)) =,-8
multistep_arithmetic_two,((-9 - -8 + 3 * -1) * (-9 * -2 * 4 + -6)) =,-264
multistep_arithmetic_two,((-1 - 9 * 6 + 3) * (0 - 8 - -4 - -4)) =,0
multistep_arithmetic_two,((-9 - 8 * 9 - 0) + (-4 + 4 + -2 - 0)) =,-83
multistep_arithmetic_two,((-6 - -5 - -9 - -9) * (-6 * 4 - 8 - -9)) =,-391
multistep_arithmetic_two,((1 + 2 * -1 - -8) - (-8 - 2 - -1 + 6)) =,10
multistep_arithmetic_two,((-6 * -2 + -2 - -9) + (-9 * 3 * -1 + -1)) =,45
multistep_arithmetic_two,((-1 * -3 - 2 + -7) + (4 * 8 * -6 - -2)) =,-196
multistep_arithmetic_two,((8 + 6 * -1 - -3) * (-5 * 0 - -7 * 1)) =,35
multistep_arithmetic_two,((-5 - -1 - 7 * 8) * (-1 - -4 * -7 * 2)) =,3420
multistep_arithmetic_two,((4 - 8 - -9 * 7) - (5 + -8 * 9 * -2)) =,-90
multistep_arithmetic_two,((-7 - -8 + 5 - -4) + (6 - -6 * 4 - 3)) =,37
multistep_arithmetic_two,((-3 * 4 * 3 + -5) + (-7 - 5 + 7 * -4)) =,-81
multistep_arithmetic_two,((-2 - 1 - -6 + -9) - (4 * 8 + -8 * 5)) =,2
multistep_arithmetic_two,((-2 * 4 - 3 - 3) - (-9 * -3 - -8 * 6)) =,-89
multistep_arithmetic_two,((-4 + -6 + -6 - -9) + (-2 * -5 * 5 * 7)) =,343
multistep_arithmetic_two,((-5 * 5 + 1 - 4) + (9 * 0 - -7 - 3)) =,-24
multistep_arithmetic_two,((1 - -8 + 0 - -3) + (-3 + -4 + 1 + 2)) =,8
multistep_arithmetic_two,((8 - -5 + -9 + 7) + (-9 * -1 * -6 + 4)) =,-39
multistep_arithmetic_two,((0 * 3 - -9 + -1) - (-5 * -6 - 6 + 8)) =,-24
multistep_arithmetic_two,((-4 + -9 + -7 * 8) - (-8 + 0 * -5 + -1)) =,-60
multistep_arithmetic_two,((7 + -7 * 9 * 5) - (-2 + -6 - -8 * -2)) =,-284
multistep_arithmetic_two,((-4 - -8 + 2 + -8) * (-3 * 0 + 4 * 1)) =,-8
multistep_arithmetic_two,((3 - 9 - 3 - 4) + (1 * -2 * -3 - -3)) =,-4
multistep_arithmetic_two,((-6 * -4 + 1 + -1) * (-1 + 2 * 7 + 2)) =,360
multistep_arithmetic_two,((-9 * -3 - 8 - 5) + (1 * -2 - -4 * 5)) =,32
multistep_arithmetic_two,((3 + -6 * -2 + 7) * (-6 - -4 - -6 + 6)) =,220
multistep_arithmetic_two,((-7 * 2 + -4 * -8) - (-5 * 0 * 1 * 5)) =,18
multistep_arithmetic_two,((-4 * 4 + -1 * 5) - (-6 + 1 - -8 - 6)) =,-18
multistep_arithmetic_two,((7 - -9 + 0 - 0) + (-9 + 5 - -9 * -1)) =,3
multistep_arithmetic_two,((4 + 3 + -9 + -2) * (7 * 2 + 8 - 1)) =,-84
multistep_arithmetic_two,((3 - 1 + -3 * -4) - (8 * 9 - -7 - -6)) =,-71
multistep_arithmetic_two,((-6 * -7 * -8 - -2) + (-5 - 2 + 0 + -2)) =,-343
multistep_arithmetic_two,((5 * 7 * -4 + 7) * (-5 - -6 + -8 * -5)) =,-5453
multistep_arithmetic_two,((4 - 2 * 2 + 3) + (-3 - -9 - -4 - 5)) =,8
multistep_arithmetic_two,((8 - 7 - -3 + -9) - (-6 * -6 + -4 * -4)) =,-57
multistep_arithmetic_two,((-7 + 9 + -9 * -4) - (-7 * 6 - 7 * 3)) =,101
multistep_arithmetic_two,((-6 * -2 + 6 - -8) - (-2 * -4 * 8 + 5)) =,-43
multistep_arithmetic_two,((-1 + 5 * 4 + 9) - (-7 - 6 * -8 - 0)) =,-13
multistep_arithmetic_two,((-4 + -2 + -6 + -1) + (-4 * 2 + -5 * 8)) =,-61
multistep_arithmetic_two,((-8 - -1 - -2 * -7) + (3 + 2 - 3 * 3)) =,-25
multistep_arithmetic_two,((4 + 5 - 7 + 9) * (-1 - -4 + -7 - -5)) =,11
multistep_arithmetic_two,((7 + 7 * 3 - 3) - (-3 + 4 - -6 + -3)) =,21
multistep_arithmetic_two,((-4 + 5 - 4 - -6) * (-3 * -1 * 2 - -4)) =,30
multistep_arithmetic_two,((2 + 7 - -5 - 1) - (0 - 5 - 9 + 0)) =,27
multistep_arithmetic_two,((4 * -4 + -6 - -2) - (9 + -7 + -8 * 6)) =,26
multistep_arithmetic_two,((3 - 2 - 3 * 3) + (-8 * -1 * -9 * 3)) =,-224
multistep_arithmetic_two,((-1 * -5 - -3 + -9) + (-5 - 3 * -2 - 5)) =,-5
multistep_arithmetic_two,((5 * -1 - 7 * 5) - (6 - -5 * 3 * 7)) =,-151
multistep_arithmetic_two,((9 - -5 - 1 + -2) * (-5 * 3 - -5 - 0)) =,-110
multistep_arithmetic_two,((-8 - -3 * 5 + 4) * (2 * 7 - -3 - -1)) =,198
multistep_arithmetic_two,((5 - 7 + -6 + 4) * (2 - -9 + 3 - 6)) =,-32
multistep_arithmetic_two,((-5 - -1 - 6 * 0) + (-3 + 5 * 0 + 1)) =,-6
multistep_arithmetic_two,((-3 - 9 - 3 - 1) + (-4 * -9 * -7 - -6)) =,-262
multistep_arithmetic_two,((1 * -1 + 5 * -4) + (-2 - 5 * 4 - 5)) =,-48
multistep_arithmetic_two,((-3 - -8 - -7 + -2) - (-2 - 8 + -1 - -6)) =,15
multistep_arithmetic_two,((-5 * -6 + 3 * -3) - (-1 + -8 * 8 * -9)) =,-554
multistep_arithmetic_two,((-5 - -7 - 4 - 8) - (-4 + 4 + 1 + 0)) =,-11
multistep_arithmetic_two,((9 + 7 - 4 - 7) - (-5 + 6 + -1 * 0)) =,4
multistep_arithmetic_two,((8 * -6 + -9 + 9) * (0 - 4 - 0 - -9)) =,-240
multistep_arithmetic_two,((-4 * 1 + 8 + 9) * (7 * -6 * -5 - 6)) =,2652
multistep_arithmetic_two,((-5 - 6 * 2 + 4) - (1 - 9 - 0 * 5)) =,-5
multistep_arithmetic_two,((-7 - 1 + 3 * -2) + (0 - 4 + 6 + 1)) =,-11
multistep_arithmetic_two,((7 * 2 + 4 - -6) * (6 - 7 - 7 * -2)) =,312
multistep_arithmetic_two,((-6 * -9 + 1 * 7) - (0 + 3 * 5 - 2)) =,48
multistep_arithmetic_two,((-8 - -1 + -8 + -3) * (-4 * 6 - 2 - 3)) =,522
multistep_arithmetic_two,((0 * -4 - -7 * 5) + (-4 * 0 + 6 + 0)) =,41
multistep_arithmetic_two,((9 * -9 + -4 * -8) - (5 * 0 + 8 - 5)) =,-52
multistep_arithmetic_two,((-6 + -9 - -6 + -1) + (-8 * 5 * -6 + 7)) =,237
multistep_arithmetic_two,((5 + 4 + 7 - 6) - (-8 * 0 - 9 + 4)) =,15
multistep_arithmetic_two,((9 - 6 + -4 + -5) * (4 - -8 + -9 + 0)) =,-18
multistep_arithmetic_two,((-9 * 6 - -3 * -3) + (-4 - -9 + 4 - -4)) =,-50
multistep_arithmetic_two,((-8 * -8 - -5 * -6) * (3 + -9 - 5 - -1)) =,-340
multistep_arithmetic_two,((0 + 3 * 4 * 9) - (4 - -5 + -4 - 4)) =,107
multistep_arithmetic_two,((-4 + -7 - 3 + 3) - (-3 + -2 - -3 * -3)) =,3
multistep_arithmetic_two,((-7 * -2 * -1 + -9) - (-7 + 5 - 0 * -4)) =,-21
multistep_arithmetic_two,((-3 + 2 * -7 * 5) * (-9 - 9 - -9 + -7)) =,1168
multistep_arithmetic_two,((1 + 0 + 2 - 4) + (-9 + 6 * -5 + 8)) =,-32
multistep_arithmetic_two,((-3 + -4 * 4 + -8) + (1 - -3 + 4 - -9)) =,-10
multistep_arithmetic_two,((3 * -7 * -4 * 2) + (7 - -3 - -3 * 1)) =,181
multistep_arithmetic_two,((-5 * -6 + -9 - 3) + (-7 - -2 - 6 * 6)) =,-23
multistep_arithmetic_two,((6 - 5 + 5 + -9) - (9 + 8 * -6 * -1)) =,-60
multistep_arithmetic_two,((8 * 3 - -1 - -3) * (-4 * 7 * -3 * 3)) =,7056
multistep_arithmetic_two,((5 + 3 - 6 + 1) + (-5 + 5 - 6 - 4)) =,-7
multistep_arithmetic_two,((-9 + 6 + 1 - 7) * (2 - -2 + -9 + -2)) =,63
multistep_arithmetic_two,((1 * 0 - -5 - 3) + (9 * 6 + -4 - 0)) =,52
multistep_arithmetic_two,((1 - 2 + 5 * 2) + (-2 - -7 + 3 * -8)) =,-10
multistep_arithmetic_two,((5 + -7 + 1 - 5) - (-3 * -1 * 7 + -1)) =,-26
multistep_arithmetic_two,((-7 * -2 + -4 + -4) - (9 * 1 * -6 * 6)) =,330
multistep_arithmetic_two,((1 + 0 - 3 + 0) - (-7 - 9 * 1 + -3)) =,17
multistep_arithmetic_two,((7 * 6 - -2 - 7) * (4 * 5 * -3 + 2)) =,-2146
multistep_arithmetic_two,((3 * -9 * 3 - 7) - (-9 + 4 * 8 + 2)) =,-113
multistep_arithmetic_two,((9 + 6 - 9 + 8) * (9 - -9 * -6 + -2)) =,-658
multistep_arithmetic_two,((5 * 6 + -6 - 8) * (-5 - 6 - 5 - -4)) =,-192
multistep_arithmetic_two,((5 + 4 - -1 * -1) + (-6 - -7 + -1 * 6)) =,3
multistep_arithmetic_two,((9 - 5 - 4 + -2) + (-9 + 1 - 1 - 9)) =,-20
multistep_arithmetic_two,((6 - 9 * -6 - -9) + (3 * 3 + -5 * -9)) =,123
multistep_arithmetic_two,((-2 * 5 + -3 + 0) * (-9 + 2 + 5 * 4)) =,-169
multistep_arithmetic_two,((5 * -3 * 3 * 7) * (0 + -9 - -5 - -2)) =,630
multistep_arithmetic_two,((8 - 3 + 0 + 7) + (-9 * -6 * 2 - 0)) =,120
multistep_arithmetic_two,((-2 * 9 * -8 + 8) - (0 * -4 - -6 * 4)) =,128
multistep_arithmetic_two,((-7 * -6 * 0 - 5) * (-3 - 9 * -8 * -9)) =,3255
multistep_arithmetic_two,((3 * 8 * -1 * -9) - (-2 + 2 * -8 * 8)) =,346
multistep_arithmetic_two,((-9 + 5 * 0 - -8) + (6 - -5 * -7 + -8)) =,-38
multistep_arithmetic_two,((-2 - -7 - 5 * 2) + (-3 - 5 * 3 + -7)) =,-30
multistep_arithmetic_two,((-9 + -7 + -1 - -1) * (3 - -7 - -1 * 0)) =,-160
multistep_arithmetic_two,((-1 + 6 + 9 + 3) - (-5 - 9 - -3 + 4)) =,24
multistep_arithmetic_two,((-7 + 9 * 9 * 6) - (-2 - -5 + 9 + -7)) =,474
multistep_arithmetic_two,((-8 - -7 + 0 + 3) + (-3 + 5 - -5 * -8)) =,-36
multistep_arithmetic_two,((8 - 4 - -8 - -7) + (6 - 5 - -1 - 4)) =,17
multistep_arithmetic_two,((-6 * 8 + -6 - -5) + (-4 - 9 * 5 - -1)) =,-97
multistep_arithmetic_two,((5 * -9 - 4 - 4) - (-3 * 2 * 9 + -7)) =,8
multistep_arithmetic_two,((4 * -9 * 3 * -8) + (-9 - 4 - -9 - -7)) =,867
multistep_arithmetic_two,((-7 - 2 - 0 + 2) * (-4 * -5 + -8 + 9)) =,-147
multistep_arithmetic_two,((-1 + 7 * 7 * -9) * (4 + 3 + -8 * 4)) =,11050
multistep_arithmetic_two,((7 * 8 + 1 + 3) - (3 + -1 - -9 + -6)) =,55
multistep_arithmetic_two,((3 + -9 + 8 + -4) * (-4 + -6 - 4 - -8)) =,12
multistep_arithmetic_two,((1 * 5 * -8 - -2) * (-2 * 6 - -5 * 3)) =,-114
multistep_arithmetic_two,((-8 - -1 * -8 * -2) * (-6 + 8 + -5 * -8)) =,336
multistep_arithmetic_two,((4 - -6 + -9 + -7) - (9 + -3 - -7 * -8)) =,44
multistep_arithmetic_two,((0 * -7 - 6 * 3) * (-9 + -5 - 2 * -1)) =,216
multistep_arithmetic_two,((-8 * 1 * -1 + -5) + (-2 - -3 + 1 * -7)) =,-3
multistep_arithmetic_two,((8 - -9 * 4 * 9) * (-4 * -3 * 7 * 9)) =,250992
multistep_arithmetic_two,((1 * -9 - 4 + -9) + (-1 + -6 + 9 - 5)) =,-25
multistep_arithmetic_two,((-1 + 2 - 9 + 0) * (0 - -2 + -6 - 2)) =,48
multistep_arithmetic_two,((7 * -5 * -9 + 7) - (2 + -8 * 6 * 3)) =,464
multistep_arithmetic_two,((-5 + -8 - -6 * 7) + (9 * -7 - -5 - -4)) =,-25
multistep_arithmetic_two,((-6 * 9 - -5 + 8) * (-8 * -6 - -1 * 0)) =,-1968
multistep_arithmetic_two,((5 - -2 * 7 + -2) - (0 * 9 * -6 - -7)) =,10
